DAC sample,sin(rad)
0,0
1,106
2,213
3,318
4,458
5,560
6,662
7,795
8,892
9,986
10,1109
11,1197
12,1281
13,1363
14,1464
15,1536
16,1604
17,1688
18,1745
19,1799
20,1860
21,1901
22,1936
23,1967
24,1999
25,2017
26,2029
27,2036
28,2036
29,2029
30,2012
31,1992
32,1967
33,1937
34,1888
35,1846
36,1799
37,1727
38,1668
39,1605
40,1514
41,1440
42,1363
43,1254
44,1169
45,1079
46,987
47,861
48,764
49,663
50,528
51,423
52,319
53,178
54,72
55,-34
56,-141
57,-282
58,-387
59,-491
60,-627
61,-728
62,-827
63,-955
64,-1048
65,-1138
66,-1225
67,-1335
68,-1413
69,-1488
70,-1582
71,-1646
72,-1707
73,-1781
74,-1830
75,-1874
76,-1925
77,-1957
78,-1984
79,-2005
80,-2025
81,-2034
82,-2037
83,-2032
84,-2021
85,-2006
86,-1977
87,-1948
88,-1914
89,-1875
90,-1815
91,-1764
92,-1709
93,-1627
94,-1561
95,-1490
96,-1390
97,-1309
98,-1227
99,-1140
100,-1019
101,-925
102,-830
103,-697
104,-597
105,-494
106,-355
107,-250
108,-144
109,0
110,106
111,213
112,318
113,458
114,560
115,662
116,795
117,892
118,986
119,1109
120,1197
121,1281
122,1363
123,1464
124,1536
125,1604
126,1688
127,1745
128,1799
129,1860
130,1901
131,1936
132,1967
133,1999
134,2017
135,2029
136,2036
137,2036
138,2029
139,2012
140,1992
141,1967
142,1937
143,1888
144,1846
145,1799
146,1727
147,1668
148,1605
149,1514
150,1440
151,1363
152,1254
153,1169
154,1079
155,987
156,861
157,764
158,663
159,528
160,423
161,319
162,178
163,72
164,-34
165,-141
166,-282
167,-387
168,-491
169,-627
170,-728
171,-827
172,-955
173,-1048
174,-1138
175,-1225
176,-1335
177,-1413
178,-1488
179,-1582
180,-1646
181,-1707
182,-1781
183,-1830
184,-1874
185,-1925
186,-1957
187,-1984
188,-2005
189,-2025
190,-2034
191,-2037
192,-2032
193,-2021
194,-2006
195,-1977
196,-1948
197,-1914
198,-1875
199,-1815
200,-1764
201,-1709
202,-1627
203,-1561
204,-1490
205,-1390
206,-1309
207,-1227
208,-1140
209,-1019
210,-925
211,-830
212,-697
213,-597
214,-494
215,-355
216,-250
217,-144
218,0
219,106
220,213
221,318
222,458
223,560
224,662
225,795
226,892
227,986
228,1109
229,1197
230,1281
231,1363
232,1464
233,1536
234,1604
235,1688
236,1745
237,1799
238,1860
239,1901
240,1936
241,1967
242,1999
243,2017
244,2029
245,2036
246,2036
247,2029
248,2012
249,1992
250,1967
251,1937
252,1888
253,1846
254,1799
255,1727
256,1668
257,1605
258,1514
259,1440
260,1363
261,1254
262,1169
263,1079
264,987
265,861
266,764
267,663
268,528
269,423
270,319
271,178
272,72
273,-34
274,-141
275,-282
276,-387
277,-491
278,-627
279,-728
280,-827
281,-955
282,-1048
283,-1138
284,-1225
285,-1335
286,-1413
287,-1488
288,-1582
289,-1646
290,-1707
291,-1781
292,-1830
293,-1874
294,-1925
295,-1957
296,-1984
297,-2005
298,-2025
299,-2034
300,-2037
301,-2032
302,-2021
303,-2006
304,-1977
305,-1948
306,-1914
307,-1875
308,-1815
309,-1764
310,-1709
311,-1627
312,-1561
313,-1490
314,-1390
315,-1309
316,-1227
317,-1140
318,-1019
319,-925
320,-830
321,-697
322,-597
323,-494
324,-355
325,-250
326,-144
327,0
328,106
329,213
330,318
331,458
332,560
333,662
334,795
335,892
336,986
337,1109
338,1197
339,1281
340,1363
341,1464
342,1536
343,1604
344,1688
345,1745
346,1799
347,1860
348,1901
349,1936
350,1967
351,1999
352,2017
353,2029
354,2036
355,2036
356,2029
357,2012
358,1992
359,1967
360,1937
361,1888
362,1846
363,1799
364,1727
365,1668
366,1605
367,1514
368,1440
369,1363
370,1254
371,1169
372,1079
373,987
374,861
375,764
376,663
377,528
378,423
379,319
380,178
381,72
382,-34
383,-141
384,-282
385,-387
386,-491
387,-627
388,-728
389,-827
390,-955
391,-1048
392,-1138
393,-1225
394,-1335
395,-1413
396,-1488
397,-1582
398,-1646
399,-1707
400,-1781
401,-1830
402,-1874
403,-1925
404,-1957
405,-1984
406,-2005
407,-2025
408,-2034
409,-2037
410,-2032
411,-2021
412,-2006
413,-1977
414,-1948
415,-1914
416,-1875
417,-1815
418,-1764
419,-1709
420,-1627
421,-1561
422,-1490
423,-1390
424,-1309
425,-1227
426,-1140
427,-1019
428,-925
429,-830
430,-697
431,-597
432,-494
433,-355
434,-250
435,-144
436,0
437,106
438,213
439,318
440,458
441,560
442,662
443,795
444,892
445,986
446,1109
447,1197
448,1281
449,1363
450,1464
451,1536
452,1604
453,1688
454,1745
455,1799
456,1860
457,1901
458,1936
459,1967
460,1999
461,2017
462,2029
463,2036
464,2036
465,2029
466,2012
467,1992
468,1967
469,1937
470,1888
471,1846
472,1799
473,1727
474,1668
475,1605
476,1514
477,1440
478,1363
479,1254
480,1169
481,1079
482,987
483,861
484,764
485,663
486,528
487,423
488,319
489,178
490,72
491,-34
492,-141
493,-282
494,-387
495,-491
496,-627
497,-728
498,-827
499,-955
500,-1048
501,-1138
502,-1225
503,-1335
504,-1413
505,-1488
506,-1582
507,-1646
508,-1707
509,-1781
510,-1830
511,-1874
512,-1925
513,-1957
514,-1984
515,-2005
516,-2025
517,-2034
518,-2037
519,-2032
520,-2021
521,-2006
522,-1977
523,-1948
524,-1914
525,-1875
526,-1815
527,-1764
528,-1709
529,-1627
530,-1561
531,-1490
532,-1390
533,-1309
534,-1227
535,-1140
536,-1019
537,-925
538,-830
539,-697
540,-597
541,-494
542,-355
543,-250
544,-144
545,0
546,106
547,213
548,318
549,458
550,560
551,662
552,795
553,892
554,986
555,1109
556,1197
557,1281
558,1363
559,1464
560,1536
561,1604
562,1688
563,1745
564,1799
565,1860
566,1901
567,1936
568,1967
569,1999
570,2017
571,2029
572,2036
573,2036
574,2029
575,2012
576,1992
577,1967
578,1937
579,1888
580,1846
581,1799
582,1727
583,1668
584,1605
585,1514
586,1440
587,1363
588,1254
589,1169
590,1079
591,987
592,861
593,764
594,663
595,528
596,423
597,319
598,178
599,72
600,-34
601,-141
602,-282
603,-387
604,-491
605,-627
606,-728
607,-827
608,-955
609,-1048
610,-1138
611,-1225
612,-1335
613,-1413
614,-1488
615,-1582
616,-1646
617,-1707
618,-1781
619,-1830
620,-1874
621,-1925
622,-1957
623,-1984
624,-2005
625,-2025
626,-2034
627,-2037
628,-2032
629,-2021
630,-2006
631,-1977
632,-1948
633,-1914
634,-1875
635,-1815
636,-1764
637,-1709
638,-1627
639,-1561
640,-1490
641,-1390
642,-1309
643,-1227
644,-1140
645,-1019
646,-925
647,-830
648,-697
649,-597
650,-494
651,-355
652,-250
653,-144
654,0
655,106
656,213
657,318
658,458
659,560
660,662
661,795
662,892
663,986
664,1109
665,1197
666,1281
667,1363
668,1464
669,1536
670,1604
671,1688
672,1745
673,1799
674,1860
675,1901
676,1936
677,1967
678,1999
679,2017
680,2029
681,2036
682,2036
683,2029
684,2012
685,1992
686,1967
687,1937
688,1888
689,1846
690,1799
691,1727
692,1668
693,1605
694,1514
695,1440
696,1363
697,1254
698,1169
699,1079
700,987
701,861
702,764
703,663
704,528
705,423
706,319
707,178
708,72
709,-34
710,-141
711,-282
712,-387
713,-491
714,-627
715,-728
716,-827
717,-955
718,-1048
719,-1138
720,-1225
721,-1335
722,-1413
723,-1488
724,-1582
725,-1646
726,-1707
727,-1781
728,-1830
729,-1874
730,-1925
731,-1957
732,-1984
733,-2005
734,-2025
735,-2034
736,-2037
737,-2032
738,-2021
739,-2006
740,-1977
741,-1948
742,-1914
743,-1875
744,-1815
745,-1764
746,-1709
747,-1627
748,-1561
749,-1490
750,-1390
751,-1309
752,-1227
753,-1140
754,-1019
755,-925
756,-830
757,-697
758,-597
759,-494
760,-355
761,-250
762,-144
763,0
764,106
765,213
766,318
767,458
768,560
769,662
770,795
771,892
772,986
773,1109
774,1197
775,1281
776,1363
777,1464
778,1536
779,1604
780,1688
781,1745
782,1799
783,1860
784,1901
785,1936
786,1967
787,1999
788,2017
789,2029
790,2036
791,2036
792,2029
793,2012
794,1992
795,1967
796,1937
797,1888
798,1846
799,1799
800,1727
801,1668
802,1605
803,1514
804,1440
805,1363
806,1254
807,1169
808,1079
809,987
810,861
811,764
812,663
813,528
814,423
815,319
816,178
817,72
818,-34
819,-141
820,-282
821,-387
822,-491
823,-627
824,-728
825,-827
826,-955
827,-1048
828,-1138
829,-1225
830,-1335
831,-1413
832,-1488
833,-1582
834,-1646
835,-1707
836,-1781
837,-1830
838,-1874
839,-1925
840,-1957
841,-1984
842,-2005
843,-2025
844,-2034
845,-2037
846,-2032
847,-2021
848,-2006
849,-1977
850,-1948
851,-1914
852,-1875
853,-1815
854,-1764
855,-1709
856,-1627
857,-1561
858,-1490
859,-1390
860,-1309
861,-1227
862,-1140
863,-1019
864,-925
865,-830
866,-697
867,-597
868,-494
869,-355
870,-250
871,-144
872,0
873,106
874,213
875,318
876,458
877,560
878,662
879,795
880,892
881,986
882,1109
883,1197
884,1281
885,1363
886,1464
887,1536
888,1604
889,1688
890,1745
891,1799
892,1860
893,1901
894,1936
895,1967
896,1999
897,2017
898,2029
899,2036
900,2036
901,2029
902,2012
903,1992
904,1967
905,1937
906,1888
907,1846
908,1799
909,1727
910,1668
911,1605
912,1514
913,1440
914,1363
915,1254
916,1169
917,1079
918,987
919,861
920,764
921,663
922,528
923,423
924,319
925,178
926,72
927,-34
928,-141
929,-282
930,-387
931,-491
932,-627
933,-728
934,-827
935,-955
936,-1048
937,-1138
938,-1225
939,-1335
940,-1413
941,-1488
942,-1582
943,-1646
944,-1707
945,-1781
946,-1830
947,-1874
948,-1925
949,-1957
950,-1984
951,-2005
952,-2025
953,-2034
954,-2037
955,-2032
956,-2021
957,-2006
958,-1977
959,-1948
960,-1914
961,-1875
962,-1815
963,-1764
964,-1709
965,-1627
966,-1561
967,-1490
968,-1390
969,-1309
970,-1227
971,-1140
972,-1019
973,-925
974,-830
975,-697
976,-597
977,-494
978,-355
979,-250
980,-144
981,0
982,106
983,213
984,318
985,458
986,560
987,662
988,795
989,892
990,986
991,1109
992,1197
993,1281
994,1363
995,1464
996,1536
997,1604
998,1688
999,1745
1000,1799
1001,1860
1002,1901
1003,1936
1004,1967
1005,1999
1006,2017
1007,2029
1008,2036
1009,2036
1010,2029
1011,2012
1012,1992
1013,1967
1014,1937
1015,1888
1016,1846
1017,1799
1018,1727
1019,1668
1020,1605
1021,1514
1022,1440
1023,1363
