DAC sample,sin(rad)
0,0
1,142
2,283
3,458
4,595
5,763
6,892
7,1049
8,1168
9,1309
10,1414
11,1513
12,1626
13,1708
14,1799
15,1860
16,1925
17,1967
18,1999
19,2025
20,2036
21,2034
22,2021
23,1992
24,1957
25,1901
26,1846
27,1782
28,1689
29,1605
30,1489
31,1389
32,1254
33,1139
34,987
35,861
36,730
37,561
38,423
39,249
40,107
41,-70
42,-212
43,-387
44,-526
45,-661
46,-827
47,-955
48,-1108
49,-1225
50,-1362
51,-1463
52,-1582
53,-1667
54,-1745
55,-1830
56,-1888
57,-1947
58,-1984
59,-2017
60,-2031
61,-2036
62,-2029
63,-2006
64,-1977
65,-1937
66,-1875
67,-1815
68,-1727
69,-1648
70,-1537
71,-1441
72,-1309
73,-1198
74,-1080
75,-925
76,-797
77,-630
78,-494
79,-320
80,-179
81,0
82,142
83,283
84,458
85,595
86,763
87,892
88,1049
89,1168
90,1309
91,1414
92,1513
93,1626
94,1708
95,1799
96,1860
97,1925
98,1967
99,1999
100,2025
101,2036
102,2034
103,2021
104,1992
105,1957
106,1901
107,1846
108,1782
109,1689
110,1605
111,1489
112,1389
113,1254
114,1139
115,987
116,861
117,730
118,561
119,423
120,249
121,107
122,-70
123,-212
124,-387
125,-526
126,-661
127,-827
128,-955
129,-1108
130,-1225
131,-1362
132,-1463
133,-1582
134,-1667
135,-1745
136,-1830
137,-1888
138,-1947
139,-1984
140,-2017
141,-2031
142,-2036
143,-2029
144,-2006
145,-1977
146,-1937
147,-1875
148,-1815
149,-1727
150,-1648
151,-1537
152,-1441
153,-1309
154,-1198
155,-1080
156,-925
157,-797
158,-630
159,-494
160,-320
161,-179
162,0
163,142
164,283
165,458
166,595
167,763
168,892
169,1049
170,1168
171,1309
172,1414
173,1513
174,1626
175,1708
176,1799
177,1860
178,1925
179,1967
180,1999
181,2025
182,2036
183,2034
184,2021
185,1992
186,1957
187,1901
188,1846
189,1782
190,1689
191,1605
192,1489
193,1389
194,1254
195,1139
196,987
197,861
198,730
199,561
200,423
201,249
202,107
203,-70
204,-212
205,-387
206,-526
207,-661
208,-827
209,-955
210,-1108
211,-1225
212,-1362
213,-1463
214,-1582
215,-1667
216,-1745
217,-1830
218,-1888
219,-1947
220,-1984
221,-2017
222,-2031
223,-2036
224,-2029
225,-2006
226,-1977
227,-1937
228,-1875
229,-1815
230,-1727
231,-1648
232,-1537
233,-1441
234,-1309
235,-1198
236,-1080
237,-925
238,-797
239,-630
240,-494
241,-320
242,-179
243,0
244,142
245,283
246,458
247,595
248,763
249,892
250,1049
251,1168
252,1309
253,1414
254,1513
255,1626
256,1708
257,1799
258,1860
259,1925
260,1967
261,1999
262,2025
263,2036
264,2034
265,2021
266,1992
267,1957
268,1901
269,1846
270,1782
271,1689
272,1605
273,1489
274,1389
275,1254
276,1139
277,987
278,861
279,730
280,561
281,423
282,249
283,107
284,-70
285,-212
286,-387
287,-526
288,-661
289,-827
290,-955
291,-1108
292,-1225
293,-1362
294,-1463
295,-1582
296,-1667
297,-1745
298,-1830
299,-1888
300,-1947
301,-1984
302,-2017
303,-2031
304,-2036
305,-2029
306,-2006
307,-1977
308,-1937
309,-1875
310,-1815
311,-1727
312,-1648
313,-1537
314,-1441
315,-1309
316,-1198
317,-1080
318,-925
319,-797
320,-630
321,-494
322,-320
323,-179
324,0
325,142
326,283
327,458
328,595
329,763
330,892
331,1049
332,1168
333,1309
334,1414
335,1513
336,1626
337,1708
338,1799
339,1860
340,1925
341,1967
342,1999
343,2025
344,2036
345,2034
346,2021
347,1992
348,1957
349,1901
350,1846
351,1782
352,1689
353,1605
354,1489
355,1389
356,1254
357,1139
358,987
359,861
360,730
361,561
362,423
363,249
364,107
365,-70
366,-212
367,-387
368,-526
369,-661
370,-827
371,-955
372,-1108
373,-1225
374,-1362
375,-1463
376,-1582
377,-1667
378,-1745
379,-1830
380,-1888
381,-1947
382,-1984
383,-2017
384,-2031
385,-2036
386,-2029
387,-2006
388,-1977
