DAC sample,sin(rad)
0,0
1,177
2,353
3,527
4,696
5,860
6,1017
7,1168
8,1309
9,1439
10,1560
11,1668
12,1764
13,1846
14,1914
15,1967
16,2005
17,2029
18,2037
19,2029
20,2005
21,1967
22,1914
23,1846
24,1764
25,1668
26,1560
27,1440
28,1309
29,1169
30,1018
31,861
32,696
33,528
34,354
35,178
36,0
37,-176
38,-352
39,-526
40,-695
41,-859
42,-1017
43,-1167
44,-1308
45,-1439
46,-1559
47,-1667
48,-1763
49,-1846
50,-1913
51,-1967
52,-2005
53,-2029
54,-2037
55,-2029
56,-2006
57,-1967
58,-1914
59,-1847
60,-1764
61,-1669
62,-1561
63,-1441
64,-1309
65,-1170
66,-1019
67,-862
68,-697
69,-529
70,-355
71,-179
72,0
73,177
74,353
75,527
76,696
77,860
78,1017
79,1168
80,1309
81,1439
82,1560
83,1668
84,1764
85,1846
86,1914
87,1967
88,2005
89,2029
90,2037
91,2029
92,2005
93,1967
94,1914
95,1846
96,1764
97,1668
98,1560
99,1440
100,1309
101,1169
102,1018
103,861
104,696
105,528
106,354
107,178
108,0
109,-176
110,-352
111,-526
112,-695
113,-859
114,-1017
115,-1167
116,-1308
117,-1439
118,-1559
119,-1667
120,-1763
121,-1846
122,-1913
123,-1967
124,-2005
125,-2029
126,-2037
127,-2029
128,-2006
129,-1967
130,-1914
131,-1847
132,-1764
133,-1669
134,-1561
135,-1441
136,-1309
137,-1170
138,-1019
139,-862
140,-697
141,-529
142,-355
143,-179
144,0
145,177
146,353
147,527
148,696
149,860
150,1017
151,1168
152,1309
153,1439
154,1560
155,1668
156,1764
157,1846
158,1914
159,1967
160,2005
161,2029
162,2037
163,2029
164,2005
165,1967
166,1914
167,1846
168,1764
169,1668
170,1560
171,1440
172,1309
173,1169
174,1018
175,861
176,696
177,528
178,354
179,178
180,0
181,-176
182,-352
183,-526
184,-695
185,-859
186,-1017
187,-1167
188,-1308
189,-1439
190,-1559
191,-1667
192,-1763
193,-1846
194,-1913
195,-1967
196,-2005
197,-2029
198,-2037
199,-2029
200,-2006
201,-1967
202,-1914
203,-1847
204,-1764
205,-1669
206,-1561
207,-1441
208,-1309
209,-1170
210,-1019
211,-862
212,-697
213,-529
214,-355
215,-179
216,0
217,177
218,353
219,527
220,696
221,860
222,1017
223,1168
224,1309
225,1439
226,1560
227,1668
228,1764
229,1846
230,1914
231,1967
232,2005
233,2029
234,2037
235,2029
236,2005
237,1967
238,1914
239,1846
240,1764
241,1668
242,1560
243,1440
244,1309
245,1169
246,1018
247,861
248,696
249,528
250,354
251,178
252,0
253,-176
254,-352
255,-526
256,-695
257,-859
258,-1017
259,-1167
260,-1308
261,-1439
262,-1559
263,-1667
264,-1763
265,-1846
266,-1913
267,-1967
268,-2005
269,-2029
270,-2037
271,-2029
272,-2006
273,-1967
274,-1914
275,-1847
276,-1764
277,-1669
278,-1561
279,-1441
280,-1309
281,-1170
282,-1019
283,-862
284,-697
285,-529
286,-355
287,-179
288,0
289,177
290,353
291,527
292,696
293,860
294,1017
295,1168
296,1309
297,1439
298,1560
299,1668
300,1764
301,1846
302,1914
303,1967
304,2005
305,2029
306,2037
307,2029
308,2005
309,1967
310,1914
311,1846
312,1764
313,1668
314,1560
315,1440
316,1309
317,1169
318,1018
319,861
320,696
321,528
322,354
323,178
324,0
325,-176
326,-352
327,-526
328,-695
329,-859
330,-1017
331,-1167
332,-1308
333,-1439
334,-1559
335,-1667
336,-1763
337,-1846
338,-1913
339,-1967
340,-2005
341,-2029
342,-2037
343,-2029
344,-2006
345,-1967
346,-1914
347,-1847
348,-1764
349,-1669
350,-1561
351,-1441
352,-1309
353,-1170
354,-1019
355,-862
356,-697
357,-529
358,-355
359,-179
360,0
361,177
362,353
363,527
364,696
365,860
366,1017
367,1168
368,1309
369,1439
370,1560
371,1668
372,1764
373,1846
374,1914
375,1967
376,2005
377,2029
378,2037
379,2029
380,2005
381,1967
382,1914
383,1846
384,1764
385,1668
386,1560
387,1440
388,1309
389,1169
390,1018
391,861
392,696
393,528
394,354
395,178
396,0
397,-176
398,-352
399,-526
400,-695
401,-859
402,-1017
403,-1167
404,-1308
405,-1439
406,-1559
407,-1667
408,-1763
409,-1846
410,-1913
411,-1967
412,-2005
413,-2029
414,-2037
415,-2029
416,-2006
417,-1967
418,-1914
419,-1847
420,-1764
421,-1669
422,-1561
423,-1441
424,-1309
425,-1170
426,-1019
427,-862
428,-697
429,-529
430,-355
431,-179
432,0
433,177
434,353
435,527
436,696
437,860
438,1017
439,1168
440,1309
441,1439
442,1560
443,1668
444,1764
445,1846
446,1914
447,1967
448,2005
449,2029
450,2037
451,2029
452,2005
453,1967
454,1914
455,1846
456,1764
457,1668
458,1560
459,1440
460,1309
461,1169
462,1018
463,861
464,696
465,528
466,354
467,178
468,0
469,-176
470,-352
471,-526
472,-695
473,-859
474,-1017
475,-1167
476,-1308
477,-1439
478,-1559
479,-1667
480,-1763
481,-1846
482,-1913
483,-1967
484,-2005
485,-2029
486,-2037
487,-2029
488,-2006
489,-1967
490,-1914
491,-1847
492,-1764
493,-1669
494,-1561
495,-1441
496,-1309
497,-1170
498,-1019
499,-862
500,-697
501,-529
502,-355
503,-179
504,0
505,177
506,353
507,527
508,696
509,860
510,1017
511,1168
512,1309
513,1439
514,1560
515,1668
516,1764
517,1846
518,1914
519,1967
520,2005
521,2029
522,2037
523,2029
524,2005
525,1967
526,1914
527,1846
528,1764
529,1668
530,1560
531,1440
532,1309
533,1169
534,1018
535,861
536,696
537,528
538,354
539,178
540,0
541,-176
542,-352
543,-526
544,-695
545,-859
546,-1017
547,-1167
548,-1308
549,-1439
550,-1559
551,-1667
552,-1763
553,-1846
554,-1913
555,-1967
556,-2005
557,-2029
558,-2037
